Ortschaft;Kanton;14.12.2018;21.12.2018;18.01.2019;02.02.2019;15.02.2019;15.03.2019;06.04.2019;04.05.2019;24.05.2019;31.08.2019;27.09.2019;28.09.2019;29.11.2019
Aarau;AG;;;300;;;500;1000;;;150;150;;100
Affoltern a. A.;ZH;;;;;;;;;;180;;;
Allschwil;BL;;;;;;;;;;50;;;
Altdorf;UR;;;;;;;;;;?;;;
Baden;AG;;;300;;;600;;;300;;100;;
Basel;BS;;500;1'000;8'000;;2'000;3'000;;2'000;;;;1'000
Bellinzona;TI;;;;1'500;;4'000;;;600;;;;1'500
Bern;BE;;1'000;2'000;4'500;;8'000;8'000;;6'500;;;100'000;2'000
Biel / Bienne;BE;;;300;1'100;;500;800;;400;;400;;400
Brig;VS;;;;;;50;;;;;;;
Bülach;ZH;;;;;;;;;;220;;;
Burgdorf;BE;;;;;;;;;40;;;;
Chemin-Dessus;VD;;;;;;;;;;80;;;
Chur;GR;;;300;;;150;;;;;;;
Davos;GR;;;;;;;;;15;;6;;10
Degersheim;SG;;;;;;;;;;50;;;
Delémont;JU;;;500;700;;400;;;150;;;;
Erlach;BE;;;;;;;;;;100;;;
Frauenfeld;TG;;;;;;300;300;;;;100;;
Fribourg;FR;;;1'250;2'500;;2'000;1'600;;700;;1'200;;500
Genf;GE;;;5'000;4'500;;15'000;3'000;;2'500;;3'000;;3'000
Glarus;GL;;;;200;;100;150;;30;;50;;
Hettlingen;ZH;;;;;;;;;;80;;;
Horgen;ZH;;;;;;;;;;250;;;
Ins;BE;;;;;;;;300;;;;;
Interlaken;BE;;;;;;;;;;100;;;
Köniz;BE;;;;;;;;;400;;;;
Kreuzlingen;TG;;;;;;;;;;;;;
La Chaux-de-Fonds;NE;;;;;;;1000;;;;;;
Lausanne;VD;;;8'000;17'000;;15'000;9'000;;7'500;;8'000;;1'000
Langenthal;BE;;;;;;;;;125;150;;;
Liestal;BL;;;;;;;;;;?;;;
Lugano;TI;;;;;;;100;;;;;;
Luzern;LU;;;500;2'500;;1'500;2'000;;700;;;;250
Lyss;BE;;;;;;;;;;20;;;
Massongex;VS;;;;;;;;;;20;;;
Mésery-près-Donneloye;VD;;;;;;;;;;?;;;
Münsingen;BE;;;;;;;;;60;200;;;
Neuchâtel;NE;;;1'500;3'000;;2'000;;;1'000;;500;;
Olten;SO;;;;;;200;300;;150;;;;100
Pfäffikon;ZH;;;;;;;;;;120;;;
Porrentruy;JU;;;100;;;;250;;;;130;;
Rapperswil;ZH;;;;;;100;;;;;100;;
Regensdorf;ZH;;;;;;;;;;?;;;
Sarnen;OW;;;;;;;100;;;;;;
Saignelégier;JU;;;;;;;;;;70;;;
Sarnen;OW;;;;;;;;;;30;;;
Schaffhausen;SH;;;;;400;;;;500;;400;;
Schwarzenburg;BE;;;;;;;;;;120;;;
Sion;VS;;;;;;1200;;;400;;;;
Solothurn;SO;;;300;600;;150;200;;100;;;;
Stans;NW;;;;;;;;;;50;;;
St. Gallen;SG;;350;600;2'000;350;2'000;1'500;;700;;;;
Sursee;LU;;;;;;;;;;?;;;
Teufen;AR;;;;;;;;;;135;;;
Thun;BE;;;;;;800;300;;500;;;;
Uster;ZH;;;;;;;;;;200;;;
Vuiteboeuf;VD;;;;;;;;;;25;;;
Wattwil;SG;;;;;;;;;;170;;;
Wetzikon;ZH;;;;;;;;;;220;;;
Winterthur;ZH;;;;;;;4'000;2'500;;;1'500;;1'500
Zollikofen / Wohlen;BE;;;;;;;;;;40;;;
Zug;ZG;;;300;;;250;300;;80;;150;;80
Zürich;ZH;500;1'000;2'000;17'000;;13'000;15'000;;10'000;;10'000;;4'000
